usage_id,customer_id,product_module,usage_date,active_users,errors,minutes_used
1,24,Analytics,2025-02-18,20,5,22
2,9,Alerts,2025-06-04,6,2,198
3,77,Alerts,2025-02-04,12,1,176
4,9,Analytics,2025-06-03,16,0,275
5,87,Dashboard,2025-04-03,14,0,33
6,31,Dashboard,2025-02-22,28,3,28
7,52,Reporting,2025-06-07,6,1,22
8,16,Dashboard,2025-05-31,47,0,87
9,73,Alerts,2025-03-30,16,4,257
10,32,Alerts,2025-05-08,10,2,101
11,75,Alerts,2025-04-26,44,0,75
12,77,Analytics,2025-06-09,36,5,43
13,6,Dashboard,2025-04-20,50,2,168
14,80,Dashboard,2025-06-14,24,5,105
15,11,Dashboard,2025-07-30,1,2,173
16,54,Dashboard,2025-04-30,31,3,247
17,85,Reporting,2025-07-29,11,5,109
18,75,Reporting,2025-07-13,23,0,71
19,73,Alerts,2025-05-01,7,2,227
20,67,Alerts,2025-07-24,31,3,23
21,41,Analytics,2025-03-11,36,0,164
22,34,UserManagement,2025-07-02,44,1,126
23,27,Alerts,2025-06-25,26,0,73
24,86,Dashboard,2025-05-18,45,4,121
25,92,Alerts,2025-04-10,14,4,213
26,41,Alerts,2025-06-12,31,4,280
27,31,Reporting,2025-02-20,43,0,54
28,34,Dashboard,2025-03-04,25,4,263
29,51,Analytics,2025-04-30,30,1,94
30,17,Analytics,2025-07-20,46,3,27
31,86,Analytics,2025-07-24,16,3,111
32,83,Alerts,2025-06-11,49,4,72
33,39,Analytics,2025-06-11,7,4,111
34,59,Analytics,2025-05-20,25,5,203
35,41,Analytics,2025-06-17,9,2,187
36,97,Reporting,2025-06-05,21,0,189
37,10,Dashboard,2025-05-25,49,4,88
38,2,Reporting,2025-06-17,9,0,275
39,59,Dashboard,2025-05-06,26,5,210
40,80,Reporting,2025-03-12,50,2,100
41,73,Dashboard,2025-05-30,21,1,23
42,13,Analytics,2025-06-16,19,2,105
43,10,UserManagement,2025-06-11,44,4,258
44,69,Analytics,2025-07-26,47,3,136
45,28,UserManagement,2025-06-16,28,2,186
46,65,Analytics,2025-05-25,39,0,75
47,34,Reporting,2025-07-06,26,0,201
48,17,UserManagement,2025-07-26,35,0,190
49,45,Analytics,2025-02-08,5,2,119
50,9,Alerts,2025-06-26,23,5,130
51,32,UserManagement,2025-04-25,32,1,85
52,48,Dashboard,2025-02-14,43,5,96
53,37,Reporting,2025-07-03,48,2,87
54,21,Analytics,2025-05-06,38,3,236
55,57,Analytics,2025-06-08,2,1,126
56,70,Dashboard,2025-05-14,15,2,107
57,91,Analytics,2025-04-06,39,2,277
58,39,Analytics,2025-05-31,12,3,99
59,79,Dashboard,2025-04-28,50,0,10
60,84,Dashboard,2025-04-27,16,4,157
61,68,Alerts,2025-02-12,24,2,196
62,2,Alerts,2025-06-18,24,0,252
63,86,Dashboard,2025-03-19,22,3,123
64,71,UserManagement,2025-02-22,33,2,191
65,39,UserManagement,2025-04-11,1,5,125
66,85,UserManagement,2025-07-15,40,2,76
67,14,Reporting,2025-07-01,39,3,126
68,18,Alerts,2025-06-25,49,0,226
69,34,UserManagement,2025-06-28,26,0,228
70,15,UserManagement,2025-06-13,5,2,54
71,14,UserManagement,2025-06-12,42,2,269
72,96,Dashboard,2025-03-17,15,1,189
73,71,Analytics,2025-04-26,9,5,27
74,20,Reporting,2025-02-04,32,0,250
75,35,Analytics,2025-04-27,13,1,213
76,37,Alerts,2025-05-11,3,4,56
77,78,Analytics,2025-02-28,14,4,35
78,27,Reporting,2025-04-13,20,4,292
79,92,UserManagement,2025-02-19,28,0,245
80,44,UserManagement,2025-05-30,6,2,33
81,27,Dashboard,2025-07-20,22,0,271
82,88,Dashboard,2025-02-24,25,0,105
83,82,Reporting,2025-03-03,42,2,209
84,34,UserManagement,2025-06-13,12,2,264
85,65,Analytics,2025-03-16,28,2,71
86,63,Analytics,2025-05-17,10,0,268
87,33,Reporting,2025-06-23,19,1,91
88,7,Dashboard,2025-05-09,20,4,112
89,12,Analytics,2025-05-29,25,1,205
90,82,Alerts,2025-07-18,44,4,29
91,55,Reporting,2025-02-20,31,0,60
92,36,Alerts,2025-05-21,3,1,17
93,6,Alerts,2025-06-29,17,0,261
94,1,Dashboard,2025-03-23,27,2,73
95,43,UserManagement,2025-03-04,12,2,89
96,99,Reporting,2025-03-28,11,4,212
97,17,UserManagement,2025-06-08,26,4,61
98,82,Analytics,2025-07-11,44,0,191
99,34,Analytics,2025-04-02,34,5,293
100,21,Reporting,2025-02-12,7,4,123
101,95,Dashboard,2025-02-24,30,4,295
102,57,Analytics,2025-07-15,6,5,296
103,71,Analytics,2025-06-19,23,4,103
104,91,UserManagement,2025-03-23,44,2,55
105,55,Analytics,2025-04-23,47,4,262
106,72,Dashboard,2025-02-16,7,5,232
107,2,Analytics,2025-03-23,42,2,144
108,15,Analytics,2025-04-27,26,0,283
109,10,Alerts,2025-03-26,1,3,142
110,89,Dashboard,2025-03-21,11,0,216
111,20,Analytics,2025-04-04,21,2,254
112,70,Dashboard,2025-06-16,9,3,112
113,5,Dashboard,2025-05-10,37,0,176
114,48,Analytics,2025-04-27,33,5,236
115,75,Analytics,2025-03-19,25,2,144
116,71,Dashboard,2025-02-04,44,2,77
117,19,UserManagement,2025-03-30,30,5,84
118,56,UserManagement,2025-03-27,1,0,117
119,17,Dashboard,2025-04-01,32,1,120
120,6,Dashboard,2025-05-24,42,0,88
121,40,UserManagement,2025-03-05,43,0,82
122,47,UserManagement,2025-04-20,26,4,92
123,6,Alerts,2025-02-18,28,0,270
124,46,UserManagement,2025-03-04,50,0,18
125,27,UserManagement,2025-02-15,4,3,64
126,88,Reporting,2025-07-22,20,0,159
127,32,Analytics,2025-06-08,28,3,139
128,86,Alerts,2025-06-05,17,2,88
129,14,Alerts,2025-06-10,48,3,187
130,46,Dashboard,2025-04-07,41,4,296
131,100,Reporting,2025-06-01,8,0,299
132,72,Analytics,2025-04-21,39,2,88
133,53,Alerts,2025-06-06,29,1,104
134,80,UserManagement,2025-05-14,33,4,101
135,96,UserManagement,2025-04-14,24,4,191
136,20,UserManagement,2025-04-26,50,1,217
137,31,Analytics,2025-03-07,31,0,39
138,21,Alerts,2025-06-21,46,2,203
139,23,Analytics,2025-04-27,22,1,103
